region,industry,metric_window,baseline_date,latest_date,baseline_jobs,latest_jobs,net_change,pct_change
"Napa, CA",Education and Health Services,past_12_months,2025-01-01,2026-01-01,10900.0,11600.0,700.0,6.422018348623854
"Napa, CA",Education and Health Services,since_feb_2020,2020-02-01,2026-01-01,10600.0,11600.0,1000.0,9.433962264150944
"Napa, CA",Financial Activities,past_12_months,2025-01-01,2026-01-01,1900.0,2000.0,100.0,5.263157894736842
"Napa, CA",Financial Activities,since_feb_2020,2020-02-01,2026-01-01,2300.0,2000.0,-300.0,-13.043478260869565
"Napa, CA",Government,past_12_months,2025-01-01,2026-01-01,9700.0,10000.0,300.0,3.0927835051546393
"Napa, CA",Government,since_feb_2020,2020-02-01,2026-01-01,10400.0,10000.0,-400.0,-3.8461538461538463
"Napa, CA",Information,past_12_months,2025-01-01,2026-01-01,300.0,300.0,0.0,0.0
"Napa, CA",Information,since_feb_2020,2020-02-01,2026-01-01,300.0,300.0,0.0,0.0
"Napa, CA",Leisure and Hospitality,past_12_months,2025-01-01,2026-01-01,12600.0,13000.0,400.0,3.1746031746031744
"Napa, CA",Leisure and Hospitality,since_feb_2020,2020-02-01,2026-01-01,13100.0,13000.0,-100.0,-0.7633587786259541
"Napa, CA",Manufacturing,past_12_months,2025-01-01,2026-01-01,13900.0,14200.0,300.0,2.158273381294964
"Napa, CA",Manufacturing,since_feb_2020,2020-02-01,2026-01-01,13300.0,14200.0,900.0,6.7669172932330826
"Napa, CA",Professional and Business Services,past_12_months,2025-01-01,2026-01-01,6700.0,6700.0,0.0,0.0
"Napa, CA",Professional and Business Services,since_feb_2020,2020-02-01,2026-01-01,7100.0,6700.0,-400.0,-5.633802816901409
"Napa, CA",Retail Trade,past_12_months,2025-01-01,2026-01-01,6400.0,6400.0,0.0,0.0
"Napa, CA",Retail Trade,since_feb_2020,2020-02-01,2026-01-01,6400.0,6400.0,0.0,0.0
"Napa, CA","Wholesale, Transportation, and Utilities",past_12_months,2025-01-01,2026-01-01,3600.0,3500.0,-100.0,-2.7777777777777777
"Napa, CA","Wholesale, Transportation, and Utilities",since_feb_2020,2020-02-01,2026-01-01,3800.0,3500.0,-300.0,-7.894736842105263
"Oakland-Fremont-Berkeley, CA",Construction,past_12_months,2025-01-01,2026-01-01,69000.0,67800.0,-1200.0,-1.7391304347826086
"Oakland-Fremont-Berkeley, CA",Construction,since_feb_2020,2020-02-01,2026-01-01,75700.0,67800.0,-7900.0,-10.435931307793924
"Oakland-Fremont-Berkeley, CA",Education and Health Services,past_12_months,2025-01-01,2026-01-01,234500.0,246800.0,12300.0,5.245202558635395
"Oakland-Fremont-Berkeley, CA",Education and Health Services,since_feb_2020,2020-02-01,2026-01-01,202600.0,246800.0,44200.0,21.816386969397826
"Oakland-Fremont-Berkeley, CA",Financial Activities,past_12_months,2025-01-01,2026-01-01,45000.0,43900.0,-1100.0,-2.4444444444444446
"Oakland-Fremont-Berkeley, CA",Financial Activities,since_feb_2020,2020-02-01,2026-01-01,55100.0,43900.0,-11200.0,-20.326678765880217
"Oakland-Fremont-Berkeley, CA",Government,past_12_months,2025-01-01,2026-01-01,175400.0,176700.0,1300.0,0.7411630558722919
"Oakland-Fremont-Berkeley, CA",Government,since_feb_2020,2020-02-01,2026-01-01,176300.0,176700.0,400.0,0.22688598979013047
