metro,timeframe,baseline_date,latest_date,baseline_value,latest_value,net_change,pct_change
"Atlanta-Sandy Springs-Roswell, GA",12 Months,2025-04-01,2026-03-01,876200.0,875400.0,-800.0,-0.09130335539831089
"Austin-Round Rock-San Marcos, TX",12 Months,2025-04-01,2026-03-01,423800.0,426400.0,2600.0,0.6134969325153374
"Boston-Cambridge-Newton, MA-NH",12 Months,2025-04-01,2026-03-01,755300.0,737700.0,-17600.0,-2.330199920561366
"Chicago-Naperville-Elgin, IL-IN-WI",12 Months,2025-04-01,2026-03-01,1188300.0,1158500.0,-29800.0,-2.507784229571657
"Dallas-Fort Worth-Arlington, TX",12 Months,2025-04-01,2026-03-01,1254400.0,1260600.0,6200.0,0.4942602040816327
"Denver-Aurora-Centennial, CO",12 Months,2025-04-01,2026-03-01,481000.0,466800.0,-14200.0,-2.9521829521829526
"Houston-Pasadena-The Woodlands, TX",12 Months,2025-04-01,2026-03-01,771200.0,772900.0,1700.0,0.2204356846473029
"Los Angeles-Long Beach-Anaheim, CA",12 Months,2025-04-01,2026-03-01,1481300.0,1475200.0,-6100.0,-0.4118004455545804
"Miami-Fort Lauderdale-West Palm Beach, FL",12 Months,2025-04-01,2026-03-01,807600.0,800000.0,-7600.0,-0.9410599306587419
"New York-Newark-Jersey City, NY-NJ",12 Months,2025-04-01,2026-03-01,2730500.0,2734000.0,3500.0,0.12818165171214063
"Phoenix-Mesa-Chandler, AZ",12 Months,2025-04-01,2026-03-01,637100.0,633500.0,-3600.0,-0.5650604300737718
"San Diego-Chula Vista-Carlsbad, CA",12 Months,2025-04-01,2026-03-01,356300.0,355100.0,-1200.0,-0.3367948358125175
"San Francisco-Oakland-Fremont, CA",12 Months,2025-04-01,2026-03-01,727000.0,722300.0,-4700.0,-0.6464924346629987
"San Jose-Sunnyvale-Santa Clara, CA",12 Months,2025-04-01,2026-03-01,407300.0,408100.0,800.0,0.1964154186103609
"Seattle-Tacoma-Bellevue, WA",12 Months,2025-04-01,2026-03-01,605700.0,604400.0,-1300.0,-0.21462770348357274
"Washington-Arlington-Alexandria, DC-VA-MD-WV",12 Months,2025-04-01,2026-03-01,1036300.0,994200.0,-42100.0,-4.062530155360418
"Atlanta-Sandy Springs-Roswell, GA",18 Months,2024-10-01,2026-03-01,885700.0,875400.0,-10300.0,-1.1629219826126227
"Austin-Round Rock-San Marcos, TX",18 Months,2024-10-01,2026-03-01,420000.0,426400.0,6400.0,1.5238095238095237
"Boston-Cambridge-Newton, MA-NH",18 Months,2024-10-01,2026-03-01,767900.0,737700.0,-30200.0,-3.932803750488345
"Chicago-Naperville-Elgin, IL-IN-WI",18 Months,2024-10-01,2026-03-01,1209800.0,1158500.0,-51300.0,-4.240370309142007
"Dallas-Fort Worth-Arlington, TX",18 Months,2024-10-01,2026-03-01,1258200.0,1260600.0,2400.0,0.19074868860276584
"Denver-Aurora-Centennial, CO",18 Months,2024-10-01,2026-03-01,485000.0,466800.0,-18200.0,-3.7525773195876284
"Houston-Pasadena-The Woodlands, TX",18 Months,2024-10-01,2026-03-01,780500.0,772900.0,-7600.0,-0.9737347853939782
"Los Angeles-Long Beach-Anaheim, CA",18 Months,2024-10-01,2026-03-01,1514000.0,1475200.0,-38800.0,-2.5627476882430646
"Miami-Fort Lauderdale-West Palm Beach, FL",18 Months,2024-10-01,2026-03-01,799600.0,800000.0,400.0,0.05002501250625312
"New York-Newark-Jersey City, NY-NJ",18 Months,2024-10-01,2026-03-01,2762300.0,2734000.0,-28300.0,-1.024508561705825
"Phoenix-Mesa-Chandler, AZ",18 Months,2024-10-01,2026-03-01,640700.0,633500.0,-7200.0,-1.1237708756048073
"San Diego-Chula Vista-Carlsbad, CA",18 Months,2024-10-01,2026-03-01,360300.0,355100.0,-5200.0,-1.443241742991951
"San Francisco-Oakland-Fremont, CA",18 Months,2024-10-01,2026-03-01,747800.0,722300.0,-25500.0,-3.4100026745119014
"San Jose-Sunnyvale-Santa Clara, CA",18 Months,2024-10-01,2026-03-01,411500.0,408100.0,-3400.0,-0.8262454434993926
"Seattle-Tacoma-Bellevue, WA",18 Months,2024-10-01,2026-03-01,614200.0,604400.0,-9800.0,-1.5955714750895473
"Washington-Arlington-Alexandria, DC-VA-MD-WV",18 Months,2024-10-01,2026-03-01,1051000.0,994200.0,-56800.0,-5.4043767840152235
"Atlanta-Sandy Springs-Roswell, GA",24 Months,2024-04-01,2026-03-01,885100.0,875400.0,-9700.0,-1.0959213648175348
"Austin-Round Rock-San Marcos, TX",24 Months,2024-04-01,2026-03-01,413500.0,426400.0,12900.0,3.1197097944377266
"Boston-Cambridge-Newton, MA-NH",24 Months,2024-04-01,2026-03-01,769000.0,737700.0,-31300.0,-4.070221066319895
"Chicago-Naperville-Elgin, IL-IN-WI",24 Months,2024-04-01,2026-03-01,1199600.0,1158500.0,-41100.0,-3.426142047349116
"Dallas-Fort Worth-Arlington, TX",24 Months,2024-04-01,2026-03-01,1235000.0,1260600.0,25600.0,2.0728744939271255
"Denver-Aurora-Centennial, CO",24 Months,2024-04-01,2026-03-01,482000.0,466800.0,-15200.0,-3.1535269709543567
"Houston-Pasadena-The Woodlands, TX",24 Months,2024-04-01,2026-03-01,769800.0,772900.0,3100.0,0.4027020005196155
"Los Angeles-Long Beach-Anaheim, CA",24 Months,2024-04-01,2026-03-01,1488400.0,1475200.0,-13200.0,-0.8868583714055361
"Miami-Fort Lauderdale-West Palm Beach, FL",24 Months,2024-04-01,2026-03-01,795500.0,800000.0,4500.0,0.5656819610307983
"New York-Newark-Jersey City, NY-NJ",24 Months,2024-04-01,2026-03-01,2740500.0,2734000.0,-6500.0,-0.23718299580368546
"Phoenix-Mesa-Chandler, AZ",24 Months,2024-04-01,2026-03-01,641000.0,633500.0,-7500.0,-1.1700468018720749
"San Diego-Chula Vista-Carlsbad, CA",24 Months,2024-04-01,2026-03-01,360600.0,355100.0,-5500.0,-1.5252357182473655
"San Francisco-Oakland-Fremont, CA",24 Months,2024-04-01,2026-03-01,753100.0,722300.0,-30800.0,-4.0897623157615195
"San Jose-Sunnyvale-Santa Clara, CA",24 Months,2024-04-01,2026-03-01,412400.0,408100.0,-4300.0,-1.0426770126091174
"Seattle-Tacoma-Bellevue, WA",24 Months,2024-04-01,2026-03-01,612000.0,604400.0,-7600.0,-1.2418300653594772
"Washington-Arlington-Alexandria, DC-VA-MD-WV",24 Months,2024-04-01,2026-03-01,1044000.0,994200.0,-49800.0,-4.7701149425287355
"Atlanta-Sandy Springs-Roswell, GA",36 Months,2023-04-01,2026-03-01,897300.0,875400.0,-21900.0,-2.440655299231026
"Austin-Round Rock-San Marcos, TX",36 Months,2023-04-01,2026-03-01,419700.0,426400.0,6700.0,1.5963783654991661
"Boston-Cambridge-Newton, MA-NH",36 Months,2023-04-01,2026-03-01,785600.0,737700.0,-47900.0,-6.097250509164969
"Chicago-Naperville-Elgin, IL-IN-WI",36 Months,2023-04-01,2026-03-01,1232900.0,1158500.0,-74400.0,-6.034552680671587
"Dallas-Fort Worth-Arlington, TX",36 Months,2023-04-01,2026-03-01,1236500.0,1260600.0,24100.0,1.9490497371613427
"Denver-Aurora-Centennial, CO",36 Months,2023-04-01,2026-03-01,489600.0,466800.0,-22800.0,-4.6568627450980395
"Houston-Pasadena-The Woodlands, TX",36 Months,2023-04-01,2026-03-01,773300.0,772900.0,-400.0,-0.051726367515841205
"Los Angeles-Long Beach-Anaheim, CA",36 Months,2023-04-01,2026-03-01,1515500.0,1475200.0,-40300.0,-2.6591883866710653
"Miami-Fort Lauderdale-West Palm Beach, FL",36 Months,2023-04-01,2026-03-01,791600.0,800000.0,8400.0,1.0611419909044972
"New York-Newark-Jersey City, NY-NJ",36 Months,2023-04-01,2026-03-01,2731700.0,2734000.0,2300.0,0.08419665409818063
"Phoenix-Mesa-Chandler, AZ",36 Months,2023-04-01,2026-03-01,640400.0,633500.0,-6900.0,-1.0774515927545283
"San Diego-Chula Vista-Carlsbad, CA",36 Months,2023-04-01,2026-03-01,373700.0,355100.0,-18600.0,-4.977254482204977
"San Francisco-Oakland-Fremont, CA",36 Months,2023-04-01,2026-03-01,792500.0,722300.0,-70200.0,-8.858044164037855
"San Jose-Sunnyvale-Santa Clara, CA",36 Months,2023-04-01,2026-03-01,426600.0,408100.0,-18500.0,-4.336615096108766
"Seattle-Tacoma-Bellevue, WA",36 Months,2023-04-01,2026-03-01,627300.0,604400.0,-22900.0,-3.65056591742388
"Washington-Arlington-Alexandria, DC-VA-MD-WV",36 Months,2023-04-01,2026-03-01,1053700.0,994200.0,-59500.0,-5.646768529942109
"Atlanta-Sandy Springs-Roswell, GA",6 Months,2025-10-01,2026-03-01,877700.0,875400.0,-2300.0,-0.26204853594622307
"Austin-Round Rock-San Marcos, TX",6 Months,2025-10-01,2026-03-01,428400.0,426400.0,-2000.0,-0.4668534080298786
"Boston-Cambridge-Newton, MA-NH",6 Months,2025-10-01,2026-03-01,755400.0,737700.0,-17700.0,-2.3431294678316124
"Chicago-Naperville-Elgin, IL-IN-WI",6 Months,2025-10-01,2026-03-01,1199100.0,1158500.0,-40600.0,-3.3858727378867486
"Dallas-Fort Worth-Arlington, TX",6 Months,2025-10-01,2026-03-01,1264300.0,1260600.0,-3700.0,-0.2926520604286957
"Denver-Aurora-Centennial, CO",6 Months,2025-10-01,2026-03-01,482500.0,466800.0,-15700.0,-3.2538860103626943
"Houston-Pasadena-The Woodlands, TX",6 Months,2025-10-01,2026-03-01,771800.0,772900.0,1100.0,0.14252396994039906
"Los Angeles-Long Beach-Anaheim, CA",6 Months,2025-10-01,2026-03-01,1499000.0,1475200.0,-23800.0,-1.5877251501000667
"Miami-Fort Lauderdale-West Palm Beach, FL",6 Months,2025-10-01,2026-03-01,800400.0,800000.0,-400.0,-0.04997501249375312
"New York-Newark-Jersey City, NY-NJ",6 Months,2025-10-01,2026-03-01,2757500.0,2734000.0,-23500.0,-0.8522212148685404
"Phoenix-Mesa-Chandler, AZ",6 Months,2025-10-01,2026-03-01,637900.0,633500.0,-4400.0,-0.6897632857814705
"San Diego-Chula Vista-Carlsbad, CA",6 Months,2025-10-01,2026-03-01,355100.0,355100.0,0.0,0.0
"San Francisco-Oakland-Fremont, CA",6 Months,2025-10-01,2026-03-01,736800.0,722300.0,-14500.0,-1.9679695982627576
"San Jose-Sunnyvale-Santa Clara, CA",6 Months,2025-10-01,2026-03-01,413800.0,408100.0,-5700.0,-1.3774770420492992
"Seattle-Tacoma-Bellevue, WA",6 Months,2025-10-01,2026-03-01,612900.0,604400.0,-8500.0,-1.3868494044705497
"Washington-Arlington-Alexandria, DC-VA-MD-WV",6 Months,2025-10-01,2026-03-01,1018400.0,994200.0,-24200.0,-2.376276512175962
"Atlanta-Sandy Springs-Roswell, GA",Since COVID-19,2020-02-01,2026-03-01,840000.0,875400.0,35400.0,4.214285714285714
"Austin-Round Rock-San Marcos, TX",Since COVID-19,2020-02-01,2026-03-01,321200.0,426400.0,105200.0,32.75217932752179
"Boston-Cambridge-Newton, MA-NH",Since COVID-19,2020-02-01,2026-03-01,776500.0,737700.0,-38800.0,-4.9967804249839025
"Chicago-Naperville-Elgin, IL-IN-WI",Since COVID-19,2020-02-01,2026-03-01,1207000.0,1158500.0,-48500.0,-4.018227009113504
"Dallas-Fort Worth-Arlington, TX",Since COVID-19,2020-02-01,2026-03-01,1059400.0,1260600.0,201200.0,18.991882197470268
"Denver-Aurora-Centennial, CO",Since COVID-19,2020-02-01,2026-03-01,448000.0,466800.0,18800.0,4.196428571428571
"Houston-Pasadena-The Woodlands, TX",Since COVID-19,2020-02-01,2026-03-01,716500.0,772900.0,56400.0,7.871598046057223
"Los Angeles-Long Beach-Anaheim, CA",Since COVID-19,2020-02-01,2026-03-01,1587100.0,1475200.0,-111900.0,-7.050595425619053
"Miami-Fort Lauderdale-West Palm Beach, FL",Since COVID-19,2020-02-01,2026-03-01,700800.0,800000.0,99200.0,14.15525114155251
"New York-Newark-Jersey City, NY-NJ",Since COVID-19,2020-02-01,2026-03-01,2643500.0,2734000.0,90500.0,3.423491583128428
"Phoenix-Mesa-Chandler, AZ",Since COVID-19,2020-02-01,2026-03-01,615100.0,633500.0,18400.0,2.99138351487563
"San Diego-Chula Vista-Carlsbad, CA",Since COVID-19,2020-02-01,2026-03-01,362000.0,355100.0,-6900.0,-1.9060773480662985
